,Lemma,POS,meaning_en
273360,felbegeerd,WW,
273660,feller,SPEC,
274756,fetisjisten,SPEC,
275123,fiction,SPEC,
275616,figaro,SPEC,
275692,figuranten,SPEC,
276596,filmmakers,SPEC,
277216,financiële,SPEC,
277306,fine,SPEC,
277848,first,SPEC,
278258,five,SPEC,
278554,flamboyante,SPEC,
278815,flapperende,SPEC,
278847,flash,SPEC,
278919,flashy,SPEC,
279887,flinters,SPEC,
279998,flippers,SPEC,
280310,flodders,SPEC,
280413,flor,SPEC,
281082,fluorescerend,SPEC,
281356,flyers,SPEC,
281803,fokkers,SPEC,
282124,fondsen,SPEC,
282430,football,SPEC,
282432,football,VNW,
282707,force,SPEC,
282710,forceer,SPEC,
283006,forensische,SPEC,
283103,forma,SPEC,
283169,format,SPEC,
283273,formules,SPEC,
284485,fouilleer,SPEC,
284517,foundation,SPEC,
284838,foxen,SPEC,
285049,fragiele,SPEC,
285589,franciscanen,SPEC,
285645,franco,SPEC,
285714,francs,SPEC,
286439,franke,SPEC,
286448,franken,SPEC,
287028,fransozen,SPEC,
287515,freaks,SPEC,
288275,free,SPEC,
288796,freudiaan,SPEC,
289074,frietje,SPEC,
289093,friezen,SPEC,
289282,frites,SPEC,
290637,full,SPEC,
291198,fuseliers,SPEC,
291252,fusies,SPEC,
291273,fusion,SPEC,
292358,gaaien,SPEC,
292450,gaande,ADJ,
292452,gaande,WW,
292458,gaandeweg,BW,
292501,gaarne,BW,
293322,galactische,SPEC,
293564,galen,SPEC,
293749,galjoenen,SPEC,
294058,galt,SPEC,
294236,games,SPEC,
294669,gangsters,SPEC,
294875,gap,SPEC,
295157,garden,SPEC,
295420,garnalen,SPEC,
296024,gasbellen,SPEC,
